Id_Inventaris	Permendagri_90	Nama_Barang_Permendagri_90	No_Kode_Barang	Nama_Sesuai Kode	Nama_Simbada / Deskripsi_Barang	No_Kode_Register	Luas_Tanah	Thn_Pengadaan	Letak	Hak_Tanah	Tgl_Sertifikat	No_Sertifikat	Penggunaan	Asal_Usul	Harga_Barang	Keterangan	Kode_SKPD	Nama_SKPD	Kode_Lokasi	Nama_Lokasi
8142275	1.3.01.01.01.002	Tanah untuk Bangunan Gedung Perdagangan/Perusahaan	01.01.11.02.01	Tanah Bangunan Pasar	Tanah Pasar Sentul	00003	3134	2013	Pasar Sentul	Hak Pakai	0000-00-00		Pasar sentul	Pembelian	25974385450	-	12.00.34.71.020401.	DINAS PERTANAHAN DAN TATA RUANG	12.00.34.71.020401.00001.	DINAS PERTANAHAN DAN TATA RUANG
7631159	1.3.01.01.01.002	Tanah untuk Bangunan Gedung Perdagangan/Perusahaan	01.01.11.02.01	Tanah Bangunan Pasar	Tanah Fasilitas Umum	00001	390	2011	Kel. Pakuncen	Hak Pakai	0000-00-00	-	Lapangan Olah Raga	Pembelian	294855913	Proses balik nama	12.00.34.71.020401.	DINAS PERTANAHAN DAN TATA RUANG	12.00.34.71.020401.00001.	DINAS PERTANAHAN DAN TATA RUANG
7587111	1.3.01.01.01.002	Tanah untuk Bangunan Gedung Perdagangan/Perusahaan	01.01.11.02.01	Tanah Bangunan Pasar	Tanah Perluasan Pasar Sentul	00002	455	2010	Kel. Gunung Ketur	Hak Pakai	0000-00-00	-	Lapangan Olah Raga	Pembelian	2642412500	Proses balik nama	12.00.34.71.020401.	DINAS PERTANAHAN DAN TATA RUANG	12.00.34.71.020401.00001.	DINAS PERTANAHAN DAN TATA RUANG
8802646	1.3.01.01.01.004	Tanah untuk Bangunan Tempat Kerja	01.01.11.04.01	Tanah Bangunan Kantor Pemerintah	Tanah Puskesmas Pakualaman dan Kantor Kelurahan Purwokinanti	00001	1630	2019	Jl.Purwanggan (Eks.Gedung AKUB), Kel Purwokinanti, Kec Pakualaman Kota Yogyakarta	Hak Pakai	2019-00-00	-	Kantor Puskesmas Pakualaman dan Kantor Kelurahan Purwokinanti	Pembelian	14045378632	-	12.00.34.71.020401.	DINAS PERTANAHAN DAN TATA RUANG	12.00.34.71.020401.00001.	DINAS PERTANAHAN DAN TATA RUANG
8802645	1.3.01.01.01.004	Tanah untuk Bangunan Tempat Kerja	01.01.11.04.01	Tanah Bangunan Kantor Pemerintah	Tanah Kantor Kelurahan Suryatmajan	00001	200	2019	Suryatmajan Rt 36 Rw 12 Kel Suryatmajan Kec Danurejan Kota Yogyakarta	Hak Pakai	2019-00-00	-	Kantor Kelurahan Suryatmajan	Pembelian	3916609517	-	12.00.34.71.020401.	DINAS PERTANAHAN DAN TATA RUANG	12.00.34.71.020401.00001.	DINAS PERTANAHAN DAN TATA RUANG
8772119	1.3.01.01.01.004	Tanah untuk Bangunan Tempat Kerja	01.01.11.04.01	Tanah Bangunan Kantor Pemerintah	Tanah kantor kelurahan Gowongan	00001	1040	2018	Jl. Gowongan Lor No. 09,11,13 Kel Gowongan	Hak Pakai	2018-00-00	-	kantor kelurahan Gowongan	Pembelian	10939559371	Proses  balik nama	12.00.34.71.020401.	DINAS PERTANAHAN DAN TATA RUANG	12.00.34.71.020401.00001.	DINAS PERTANAHAN DAN TATA RUANG
8772124	1.3.01.01.01.004	Tanah untuk Bangunan Tempat Kerja	01.01.11.04.01	Tanah Bangunan Kantor Pemerintah	Tanah untuk Kelurahan Gedong kiwo	00001	680	2018	Jl. Prapanca Gedongkiwo	Hak Pakai	2018-00-00	-	Kelurahan Gedong kiwo	Pembelian	2929823145	Proses  balik nama	12.00.34.71.020401.	DINAS PERTANAHAN DAN TATA RUANG	12.00.34.71.020401.00001.	DINAS PERTANAHAN DAN TATA RUANG
8772129	1.3.01.01.01.004	Tanah untuk Bangunan Tempat Kerja	01.01.11.04.01	Tanah Bangunan Kantor Pemerintah	Tanah untuk Pengembangan komplek Balaikota	00001	1525	2018	Jl. Hibrida No. 196 Kel Muja Muju Kec UH Yk	Hak Pakai	2018-00-00	-	Pengembangan komplek Balaikota	Pembelian	10694449005	Proses  balik nama	12.00.34.71.020401.	DINAS PERTANAHAN DAN TATA RUANG	12.00.34.71.020401.00001.	DINAS PERTANAHAN DAN TATA RUANG
8535623	1.3.01.01.01.004	Tanah untuk Bangunan Tempat Kerja	01.01.11.04.01	Tanah Bangunan Kantor Pemerintah	Tanah Bangunan Kantor Pemerintah	00001	1500	2016	Kel. Tahunan	Hak Pakai	0000-00-00	-	Kantor Kel. Tahunan	Pembelian	4441041000	Proses balik nama	12.00.34.71.020401.	DINAS PERTANAHAN DAN TATA RUANG	12.00.34.71.020401.00001.	DINAS PERTANAHAN DAN TATA RUANG
8535622	1.3.01.01.01.004	Tanah untuk Bangunan Tempat Kerja	01.01.11.04.01	Tanah Bangunan Kantor Pemerintah	Tanah Bangunan Kantor Pemerintah	00001	687	2016	Kel. Gunungketur	Hak Pakai	0000-00-00	-	Kantor Kec. Pakualaman	Pembelian	5799278250	Proses balik nama	12.00.34.71.020401.	DINAS PERTANAHAN DAN TATA RUANG	12.00.34.71.020401.00001.	DINAS PERTANAHAN DAN TATA RUANG
